Gas consumption package calculation
Gas type - "methane"
Gas press ~ 15 MPa
Gas temp - 0 cel

Cycle #0 | Gas pressure drop = 0.0506627 MPa
0.09 | Mass consumption = 884 kg/sec | Volume consumption = 8 m3/sec
0.1 | Mass consumption = 995 kg/sec | Volume consumption = 9 m3/sec
0.11 | Mass consumption = 1106 kg/sec | Volume consumption = 10 m3/sec
0.12 | Mass consumption = 1216 kg/sec | Volume consumption = 11 m3/sec
0.13 | Mass consumption = 1327 kg/sec | Volume consumption = 12 m3/sec
0.14 | Mass consumption = 1437 kg/sec | Volume consumption = 13 m3/sec
0.15 | Mass consumption = 1548 kg/sec | Volume consumption = 14 m3/sec
0.16 | Mass consumption = 1659 kg/sec | Volume consumption = 15 m3/sec
0.17 | Mass consumption = 1769 kg/sec | Volume consumption = 16 m3/sec
0.18 | Mass consumption = 1880 kg/sec | Volume consumption = 17 m3/sec
0.19 | Mass consumption = 1991 kg/sec | Volume consumption = 18 m3/sec
0.2 | Mass consumption = 2101 kg/sec | Volume consumption = 19 m3/sec
0.21 | Mass consumption = 2212 kg/sec | Volume consumption = 20 m3/sec
0.22 | Mass consumption = 2322 kg/sec | Volume consumption = 21 m3/sec
0.23 | Mass consumption = 2433 kg/sec | Volume consumption = 22 m3/sec
0.24 | Mass consumption = 2544 kg/sec | Volume consumption = 23 m3/sec
0.25 | Mass consumption = 2654 kg/sec | Volume consumption = 24 m3/sec
0.26 | Mass consumption = 2765 kg/sec | Volume consumption = 25 m3/sec
0.27 | Mass consumption = 2875 kg/sec | Volume consumption = 26 m3/sec
0.28 | Mass consumption = 2986 kg/sec | Volume consumption = 27 m3/sec
0.29 | Mass consumption = 3097 kg/sec | Volume consumption = 28 m3/sec
0.3 | Mass consumption = 3207 kg/sec | Volume consumption = 29 m3/sec
0.31 | Mass consumption = 3318 kg/sec | Volume consumption = 30 m3/sec
0.32 | Mass consumption = 3428 kg/sec | Volume consumption = 31 m3/sec
0.33 | Mass consumption = 3539 kg/sec | Volume consumption = 32 m3/sec
0.34 | Mass consumption = 3650 kg/sec | Volume consumption = 34 m3/sec
0.35 | Mass consumption = 3760 kg/sec | Volume consumption = 35 m3/sec
0.36 | Mass consumption = 3871 kg/sec | Volume consumption = 36 m3/sec
0.37 | Mass consumption = 3982 kg/sec | Volume consumption = 37 m3/sec
0.38 | Mass consumption = 4092 kg/sec | Volume consumption = 38 m3/sec
0.39 | Mass consumption = 4203 kg/sec | Volume consumption = 39 m3/sec
0.4 | Mass consumption = 4313 kg/sec | Volume consumption = 40 m3/sec
0.41 | Mass consumption = 4424 kg/sec | Volume consumption = 41 m3/sec
0.42 | Mass consumption = 4535 kg/sec | Volume consumption = 42 m3/sec
0.43 | Mass consumption = 4645 kg/sec | Volume consumption = 43 m3/sec
0.44 | Mass consumption = 4756 kg/sec | Volume consumption = 44 m3/sec
0.45 | Mass consumption = 4866 kg/sec | Volume consumption = 45 m3/sec
0.46 | Mass consumption = 4977 kg/sec | Volume consumption = 46 m3/sec
0.47 | Mass consumption = 5088 kg/sec | Volume consumption = 47 m3/sec
0.48 | Mass consumption = 5198 kg/sec | Volume consumption = 48 m3/sec
0.49 | Mass consumption = 5309 kg/sec | Volume consumption = 49 m3/sec
0.5 | Mass consumption = 5420 kg/sec | Volume consumption = 50 m3/sec
0.51 | Mass consumption = 5530 kg/sec | Volume consumption = 51 m3/sec
0.52 | Mass consumption = 5641 kg/sec | Volume consumption = 52 m3/sec
0.53 | Mass consumption = 5751 kg/sec | Volume consumption = 53 m3/sec
0.54 | Mass consumption = 5862 kg/sec | Volume consumption = 54 m3/sec
0.55 | Mass consumption = 5973 kg/sec | Volume consumption = 55 m3/sec
0.56 | Mass consumption = 6083 kg/sec | Volume consumption = 56 m3/sec
0.57 | Mass consumption = 6194 kg/sec | Volume consumption = 57 m3/sec
0.58 | Mass consumption = 6304 kg/sec | Volume consumption = 58 m3/sec
0.59 | Mass consumption = 6415 kg/sec | Volume consumption = 59 m3/sec
0.6 | Mass consumption = 6526 kg/sec | Volume consumption = 60 m3/sec
0.61 | Mass consumption = 6636 kg/sec | Volume consumption = 61 m3/sec
0.62 | Mass consumption = 6747 kg/sec | Volume consumption = 62 m3/sec
0.63 | Mass consumption = 6857 kg/sec | Volume consumption = 63 m3/sec
0.64 | Mass consumption = 6968 kg/sec | Volume consumption = 64 m3/sec
0.65 | Mass consumption = 7079 kg/sec | Volume consumption = 65 m3/sec
0.66 | Mass consumption = 7189 kg/sec | Volume consumption = 66 m3/sec
0.67 | Mass consumption = 7300 kg/sec | Volume consumption = 68 m3/sec
0.68 | Mass consumption = 7411 kg/sec | Volume consumption = 69 m3/sec
0.69 | Mass consumption = 7521 kg/sec | Volume consumption = 70 m3/sec
0.7 | Mass consumption = 7632 kg/sec | Volume consumption = 71 m3/sec
0.71 | Mass consumption = 7742 kg/sec | Volume consumption = 72 m3/sec
0.72 | Mass consumption = 7853 kg/sec | Volume consumption = 73 m3/sec
0.73 | Mass consumption = 7964 kg/sec | Volume consumption = 74 m3/sec
0.74 | Mass consumption = 8074 kg/sec | Volume consumption = 75 m3/sec
0.75 | Mass consumption = 8185 kg/sec | Volume consumption = 76 m3/sec
0.76 | Mass consumption = 8295 kg/sec | Volume consumption = 77 m3/sec
0.77 | Mass consumption = 8406 kg/sec | Volume consumption = 78 m3/sec
0.78 | Mass consumption = 8517 kg/sec | Volume consumption = 79 m3/sec
0.79 | Mass consumption = 8627 kg/sec | Volume consumption = 80 m3/sec
0.8 | Mass consumption = 8738 kg/sec | Volume consumption = 81 m3/sec
